Item,Qty,Reference(s),Value,MPN,Package,Note
1,1,C1,1uF 16V X5R,CL05A105KO5NNNC,1005,Compatible alt ok
2,9,"C2, C4, C5, C6, C7, C8, C9, C10, C11",0.1uF 16V X7R,0402B104K160CT,1005,Compatible alt ok
3,1,C3,10uF 6.3V X5R,CL05A106MQ5NUNC,1005,Compatible alt ok
4,2,"D1, D2",TVS,AR0521P1,1006,Compatible alt ok
5,1,D3,USER,APHB1608LZGKSURKC,4-SMD 1608,Compatible alt ok
6,1,FB1,FILTER,BLM18PG600SN1D,1608,Compatible alt ok
7,1,J2,CAN,S3B-XH-SM4-TB,,Compatible alt ok
8,1,R1,120,RC0603FR-07120RL,1608,Compatible alt ok
9,2,"R2, R3",680,RC0402FR-07680RL,1005,Compatible alt ok
10,2,"R4, R5",10k,WR04X1002FTL,1005,Compatible alt ok
11,1,SW1,TERM,K3-1293S,,
12,1,U1,LP5907UVX-3.3,LP5907UVX-3.3,DSBGA,
13,1,U2,MCP2562FD,MCP2562FDT-H/MF,DFN-8,
14,1,U3,STM32L552C(C-E)Tx,STM32L552CCT6 ,LQFP-48,
